howmany,policy,frequency,task,time_count,UPDATE_PERIOD_us_count,cpu_freq0_count,cpu_freq1_count,cpu_freq2_count,cpu_freq3_count,cpu_iio_temp_count,sensor_cpu_uW_count,sensor_ina226_CALC_uW_count,time_mean,UPDATE_PERIOD_us_mean,cpu_freq0_mean,cpu_freq1_mean,cpu_freq2_mean,cpu_freq3_mean,cpu_iio_temp_mean,sensor_cpu_uW_mean,sensor_ina226_CALC_uW_mean,time_std,UPDATE_PERIOD_us_std,cpu_freq0_std,cpu_freq1_std,cpu_freq2_std,cpu_freq3_std,cpu_iio_temp_std,sensor_cpu_uW_std,sensor_ina226_CALC_uW_std,time_min,UPDATE_PERIOD_us_min,cpu_freq0_min,cpu_freq1_min,cpu_freq2_min,cpu_freq3_min,cpu_iio_temp_min,sensor_cpu_uW_min,sensor_ina226_CALC_uW_min,time_25%,UPDATE_PERIOD_us_25%,cpu_freq0_25%,cpu_freq1_25%,cpu_freq2_25%,cpu_freq3_25%,cpu_iio_temp_25%,sensor_cpu_uW_25%,sensor_ina226_CALC_uW_25%,time_50%,UPDATE_PERIOD_us_50%,cpu_freq0_50%,cpu_freq1_50%,cpu_freq2_50%,cpu_freq3_50%,cpu_iio_temp_50%,sensor_cpu_uW_50%,sensor_ina226_CALC_uW_50%,time_75%,UPDATE_PERIOD_us_75%,cpu_freq0_75%,cpu_freq1_75%,cpu_freq2_75%,cpu_freq3_75%,cpu_iio_temp_75%,sensor_cpu_uW_75%,sensor_ina226_CALC_uW_75%,time_max,UPDATE_PERIOD_us_max,cpu_freq0_max,cpu_freq1_max,cpu_freq2_max,cpu_freq3_max,cpu_iio_temp_max,sensor_cpu_uW_max,sensor_ina226_CALC_uW_max
4,cpu,299999,encrypt,20.0,5.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,15.890653910389997,100000.0,299999.0,299999.0,299999.0,299999.0,27.72219043,1741377.0,1720291.06,0.9048005771215544,0.0,0.0,0.0,0.0,0.0,0.5580608321247971,8364.737882315252,5799.623683936336,15.1013676221,100000.0,299999.0,299999.0,299999.0,299999.0,25.7548,1635000.0,1613900.0,15.10663641205,100000.0,299999.0,299999.0,299999.0,299999.0,27.340189,1735000.0,1718537.25,15.59153119055,100000.0,299999.0,299999.0,299999.0,299999.0,27.728765,1748000.0,1720468.0,16.437243519225,100000.0,299999.0,299999.0,299999.0,299999.0,28.086255,1748000.0,1722170.75,17.331275623,100000.0,299999.0,299999.0,299999.0,299999.0,29.454041,1773000.0,1750444.0
4,cpu,299999,gzip-1,20.0,5.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,20.133714571825003,100000.0,299999.0,299999.0,299999.0,299999.0,27.78064271643287,1762229.4589178355,1750351.018036072,1.2525795581146848,0.0,0.0,0.0,0.0,0.0,0.598705817793115,9046.877465925249,7032.508400769674,19.1329551193,100000.0,299999.0,299999.0,299999.0,299999.0,26.019032,1748000.0,1737247.0,19.162168974375,100000.0,299999.0,299999.0,299999.0,299999.0,27.355732,1760000.0,1745708.0,19.404399128,100000.0,299999.0,299999.0,299999.0,299999.0,27.775394,1761000.0,1748186.0,21.11999258275,100000.0,299999.0,299999.0,299999.0,299999.0,28.195056,1773000.0,1751855.25,23.432928823,100000.0,299999.0,299999.0,299999.0,299999.0,29.873703,1798000.0,1774484.0
4,cpu,299999,gzip-5,20.0,5.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,20.764997364645,100000.0,299999.0,299999.0,299999.0,299999.0,27.829406243,1759307.0,1746578.942,0.8410983532703553,0.0,0.0,0.0,0.0,0.0,0.5815834451777103,8597.247446925305,3143.854982786068,20.1327179299,100000.0,299999.0,299999.0,299999.0,299999.0,26.11229,1748000.0,1732750.0,20.157881797975,100000.0,299999.0,299999.0,299999.0,299999.0,27.402362,1748000.0,1744604.5,20.361007085,100000.0,299999.0,299999.0,299999.0,299999.0,27.837566,1761000.0,1746473.5,20.9525889915,100000.0,299999.0,299999.0,299999.0,299999.0,28.23002775,1761000.0,1748549.25,22.262216348,100000.0,299999.0,299999.0,299999.0,299999.0,29.687187,1785000.0,1762828.0
4,cpu,299999,gzip-9,20.0,5.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,20.832298666635,100000.0,299999.0,299999.0,299999.0,299999.0,27.853762181,1759887.0,1747000.007,0.851553839967666,0.0,0.0,0.0,0.0,0.0,0.5907244340273027,8409.575016132025,3047.8902834798914,20.1328722674,100000.0,299999.0,299999.0,299999.0,299999.0,26.143376,1748000.0,1733877.0,20.157437262125,100000.0,299999.0,299999.0,299999.0,299999.0,27.448991,1748000.0,1745001.0,20.5022562935,100000.0,299999.0,299999.0,299999.0,299999.0,27.837566,1761000.0,1747051.5,21.128657791,100000.0,299999.0,299999.0,299999.0,299999.0,28.257228,1761000.0,1748876.0,22.34309587,100000.0,299999.0,299999.0,299999.0,299999.0,29.935875,1785000.0,1762568.0
4,cpu,299999,hash,34.0,5.0,997.0,997.0,997.0,997.0,997.0,997.0,997.0,11.417111777920589,100000.0,299999.0,299999.0,299999.0,299999.0,27.83242171213641,1745209.62888666,1728181.2146439317,0.35334102321539,0.0,0.0,0.0,0.0,0.0,0.59461154014514,8402.236480496416,3841.198541733329,11.1006178951,100000.0,299999.0,299999.0,299999.0,299999.0,26.190005,1735000.0,1715312.0,11.167191522675,100000.0,299999.0,299999.0,299999.0,299999.0,27.433448,1735000.0,1725639.0,11.333086395,100000.0,299999.0,299999.0,299999.0,299999.0,27.822023,1748000.0,1728120.0,11.3956610175,100000.0,299999.0,299999.0,299999.0,299999.0,28.226142,1748000.0,1730735.0,12.365353332,100000.0,299999.0,299999.0,299999.0,299999.0,29.873703,1761000.0,1742153.0
4,cpu,299999,idle,200.0,5.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,2.006373529249,100000.0,299999.0,299999.0,299999.0,299999.0,27.428116301,1601817.0,1578964.597,0.0194662882559224,0.0,0.0,0.0,0.0,0.0,0.6113697316783969,11424.36112117553,10164.971565898575,2.004187013,100000.0,299999.0,299999.0,299999.0,299999.0,25.490569,1585000.0,1561846.0,2.00429583375,100000.0,299999.0,299999.0,299999.0,299999.0,26.998243,1598000.0,1571547.25,2.0043574945,100000.0,299999.0,299999.0,299999.0,299999.0,27.4256765,1598000.0,1577934.5,2.00454832325,100000.0,299999.0,299999.0,299999.0,299999.0,27.82590875,1610000.0,1584331.25,2.1995690485,100000.0,299999.0,299999.0,299999.0,299999.0,29.236439,1661000.0,1648463.0
4,cpu,399999,cachekiller,114.0,5.0,985.0,985.0,985.0,985.0,985.0,985.0,985.0,4.255209383244737,100000.0,399999.0,399999.0,399999.0,399999.0,29.41179912284264,2163219.2893401016,2134219.69035533,0.1379998796871833,0.0,0.0,0.0,0.0,0.0,0.5799040902726794,53370.92774494592,49250.44785738508,4.1266655937,100000.0,399999.0,399999.0,399999.0,399999.0,27.619964,1873000.0,1891337.0,4.16897778325,100000.0,399999.0,399999.0,399999.0,399999.0,29.018837,2161000.0,2136407.0,4.214009052,100000.0,399999.0,399999.0,399999.0,399999.0,29.407412,2185000.0,2148703.0,4.28909877475,100000.0,399999.0,399999.0,399999.0,399999.0,29.795988,2186000.0,2159434.0,4.722637732,100000.0,399999.0,399999.0,399999.0,399999.0,31.054974,2223000.0,2204536.0
4,cpu,399999,cacherate-0,40.0,5.0,988.0,988.0,988.0,988.0,988.0,988.0,988.0,8.510445786295,100000.0,399999.0,399999.0,399999.0,399999.0,28.51236667206478,1799684.2105263155,1770930.5425101214,0.5091719572602426,0.0,0.0,0.0,0.0,0.0,0.6184357779846187,4367.777574051077,5797.418508869736,8.1101662423,100000.0,399999.0,399999.0,399999.0,399999.0,26.392065,1798000.0,1759030.0,8.116400154175,100000.0,399999.0,399999.0,399999.0,399999.0,28.101798,1798000.0,1766733.75,8.11688211185,100000.0,399999.0,399999.0,399999.0,399999.0,28.505917,1798000.0,1769610.5,8.94121026745,100000.0,399999.0,399999.0,399999.0,399999.0,28.941121,1798000.0,1774345.25,9.363873072,100000.0,399999.0,399999.0,399999.0,399999.0,30.37108,1811000.0,1791613.0
4,cpu,399999,cacherate-100,119.0,5.0,986.0,986.0,986.0,986.0,986.0,986.0,986.0,3.348037757637815,100000.0,399999.0,399999.0,399999.0,399999.0,29.47663087119675,2161765.720081136,2132427.625760649,0.4483009641007848,0.0,0.0,0.0,0.0,0.0,0.5983833073010567,55090.64870704637,51207.174369561,3.100449518,100000.0,399999.0,399999.0,399999.0,399999.0,27.713222,1911000.0,1878922.0,3.1062100706,100000.0,399999.0,399999.0,399999.0,399999.0,29.081009,2161000.0,2133951.0,3.1137162336,100000.0,399999.0,399999.0,399999.0,399999.0,29.469584,2173000.0,2148778.0,3.11669885565,100000.0,399999.0,399999.0,399999.0,399999.0,29.85816,2198000.0,2159598.75,4.305336887,100000.0,399999.0,399999.0,399999.0,399999.0,31.645609,2223000.0,2198838.0
4,cpu,399999,cacherate-20,60.0,5.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,6.650626321236666,100000.0,399999.0,399999.0,399999.0,399999.0,29.289951901803608,2143268.537074148,2123953.7955911825,0.5506335292222638,0.0,0.0,0.0,0.0,0.0,0.6089164329255458,45425.19540074336,46497.98567134688,6.1008047524,100000.0,399999.0,399999.0,399999.0,399999.0,27.619964,1861000.0,1827506.0,6.10648408705,100000.0,399999.0,399999.0,399999.0,399999.0,28.894492,2148000.0,2123876.0,6.93609326,100000.0,399999.0,399999.0,399999.0,399999.0,29.298611,2160000.0,2137752.5,7.067067467575001,100000.0,399999.0,399999.0,399999.0,399999.0,29.718273,2161000.0,2147239.0,7.551603345,100000.0,399999.0,399999.0,399999.0,399999.0,31.194861,2186000.0,2175134.0
