island,frequency,task,power,time
big,1500000,cacherate-80,604912.7412280701,1.9433333333333327
big,1600000,cacherate-80,690409.7609649122,1.9383333333333328
big,1700000,cacherate-80,793729.1315789474,1.946
big,1800000,cacherate-80,887645.6425438598,2.024
big,1900000,cacherate-80,1042761.0021929825,2.024
big,2000000,cacherate-80,1225740.3114035085,1.99
big,200000,decrypt,74476.74342105264,21.40833333333333
big,300000,decrypt,111618.34210526317,14.146666666666668
big,400000,decrypt,147882.48903508772,10.573333333333332
big,500000,decrypt,185279.43859649127,8.435
big,600000,decrypt,226060.62061403508,7.0200000000000005
big,700000,decrypt,260554.9364035088,6.0183333333333335
big,800000,decrypt,306129.67982456146,5.265
big,900000,decrypt,350020.6820175438,4.680000000000001
big,1000000,decrypt,413472.1973684211,4.215000000000001
big,1100000,decrypt,484037.18859649124,3.835
big,1200000,decrypt,560141.8333333333,3.516666666666667
big,1300000,decrypt,634100.2478070175,3.2466666666666675
big,1400000,decrypt,723540.8684210526,3.025
big,1500000,decrypt,813656.2653508771,2.8233333333333337
big,1600000,decrypt,946523.3596491228,2.651666666666667
big,1700000,decrypt,1081470.0285087721,2.496
big,1800000,decrypt,1226944.4078947369,2.36
big,1900000,decrypt,1438748.7719298245,2.2380000000000004
big,2000000,decrypt,1739831.6557017546,2.126
big,200000,encrypt,73528.07675438598,21.71666666666667
big,300000,encrypt,111123.58771929826,14.37
big,400000,encrypt,145843.67324561405,10.726666666666668
big,500000,encrypt,181598.5548245614,8.565
big,600000,encrypt,219476.93859649127,7.131666666666667
big,700000,encrypt,254635.77192982458,6.105
big,800000,encrypt,298945.7543859649,5.343333333333334
big,900000,encrypt,343158.36403508775,4.755
big,1000000,encrypt,401390.8837719298,4.278333333333333
big,1100000,encrypt,464644.3991228071,3.89
big,1200000,encrypt,540011.1030701754,3.5733333333333337
big,1300000,encrypt,613974.7434210527,3.2966666666666664
big,1400000,encrypt,697331.3311403509,3.068333333333334
big,1500000,encrypt,788597.600877193,2.8666666666666667
big,1600000,encrypt,909158.0087719295,2.69
big,1700000,encrypt,1049216.2214912279,2.536
big,1800000,encrypt,1188300.7807017544,2.3960000000000004
big,1900000,encrypt,1405364.5504385964,2.274
big,2000000,encrypt,1674533.49122807,2.162
big,200000,gzip-1,94041.19298245614,21.51833333333333
big,300000,gzip-1,138930.70175438598,14.223333333333334
big,400000,gzip-1,183243.19517543862,10.62
big,500000,gzip-1,231577.52192982455,8.481666666666667
big,600000,gzip-1,276203.19956140354,7.0633333333333335
big,700000,gzip-1,317869.17543859646,6.050000000000001
big,800000,gzip-1,377871.3179824561,5.291666666666666
big,900000,gzip-1,433962.21052631584,4.708333333333333
big,1000000,gzip-1,511960.44298245606,4.238333333333333
big,1100000,gzip-1,594306.326754386,3.8533333333333335
big,1200000,gzip-1,683193.3355263157,3.536666666666666
big,1300000,gzip-1,781895.9166666669,3.2649999999999992
big,1400000,gzip-1,895395.5021929825,3.036666666666666
big,1500000,gzip-1,1009264.3552631577,2.8366666666666664
big,1600000,gzip-1,1145795.4758771928,2.6583333333333337
big,1700000,gzip-1,1331227.418859649,2.508
big,1800000,gzip-1,1517469.5504385966,2.37
big,1900000,gzip-1,1787985.410087719,2.248
big,2000000,gzip-1,2160076.9364035088,2.1380000000000003
big,200000,gzip-5,95859.76754385966,22.34166666666667
big,300000,gzip-5,141010.5964912281,14.781666666666666
big,400000,gzip-5,188730.31140350876,11.060000000000002
big,500000,gzip-5,235820.38596491225,8.833333333333334
big,600000,gzip-5,279518.63157894736,7.355
big,700000,gzip-5,325694.25877192983,6.303333333333334
big,800000,gzip-5,383152.1008771929,5.511666666666666
big,900000,gzip-5,447551.355263158,4.903333333333333
big,1000000,gzip-5,519665.6403508772,4.411666666666666
big,1100000,gzip-5,608238.100877193,4.013333333333333
big,1200000,gzip-5,698922.9802631579,3.68
big,1300000,gzip-5,801889.5109649122,3.4
big,1400000,gzip-5,903851.394736842,3.161666666666666
big,1500000,gzip-5,1026475.0131578946,2.955
big,1600000,gzip-5,1182255.118421053,2.77
