howmany,island,frequency,task,power,time
1,little,200000,gzip-1,22562.28647660819,1.0
1,little,300000,gzip-1,30840.930555555562,0.6564075630252101
1,little,400000,gzip-1,38765.25402046784,0.4882878151260504
1,little,500000,gzip-1,45413.23896198831,0.3900735294117647
1,little,600000,gzip-1,58260.53706140351,0.3251050420168068
1,little,700000,gzip-1,70681.97843567251,0.2793067226890756
1,little,800000,gzip-1,86870.41147660819,0.2447478991596639
1,little,900000,gzip-1,100978.39378654971,0.2190126050420168
1,little,1000000,gzip-1,118697.26286549709,0.1985819327731092
1,little,1100000,gzip-1,138707.51315789472,0.1789915966386554
1,little,1200000,gzip-1,158836.9529239766,0.1648109243697479
1,little,1300000,gzip-1,185408.66140350877,0.152626050420168
1,little,1400000,gzip-1,216516.841374269,0.1423319327731092
1,little,1500000,gzip-1,247504.0769736842,0.1330357142857142
1,little,200000,gzip-5,22793.251900584793,1.0
1,little,300000,gzip-5,31242.278070175442,0.6602585668284711
1,little,400000,gzip-5,39934.37653508773,0.4934877685394337
1,little,500000,gzip-5,47097.0625,0.3936655933099437
1,little,600000,gzip-5,59639.37960526316,0.3291200076897198
1,little,700000,gzip-5,73795.14809941521,0.2816359878886913
1,little,800000,gzip-5,88957.70599415206,0.2474647955015139
1,little,900000,gzip-5,105129.37865497076,0.2208872014225981
1,little,1000000,gzip-5,121958.792251462,0.2010381121737876
1,little,1100000,gzip-5,141508.83435672516,0.1821982986494929
1,little,1200000,gzip-5,163913.72646198832,0.1663382515499591
1,little,1300000,gzip-5,192104.5591374269,0.1552842793290719
1,little,1400000,gzip-5,222967.357748538,0.143845821117893
1,little,1500000,gzip-5,254478.42266081873,0.1350026433411832
1,little,200000,gzip-9,22790.432967836256,1.0
1,little,300000,gzip-9,31295.32119883041,0.6584755950949749
1,little,400000,gzip-9,39673.02288011695,0.4934359220966579
1,little,500000,gzip-9,47132.565131578944,0.3939889396489541
1,little,600000,gzip-9,59694.72529239766,0.3298869920654003
1,little,700000,gzip-9,73863.56973684211,0.2830007213272421
1,little,800000,gzip-9,88846.9509502924,0.2477518634287088
1,little,900000,gzip-9,105152.0486111111,0.2207742245732147
1,little,1000000,gzip-9,122391.72960526316,0.1983649915845154
1,little,1100000,gzip-9,141794.47244152048,0.1819668189468622
1,little,1200000,gzip-9,163696.89261695908,0.167540274104352
1,little,1300000,gzip-9,191898.12551169592,0.1542678528492426
1,little,1400000,gzip-9,223808.97660818713,0.1436883866314018
1,little,1500000,gzip-9,255151.07485380117,0.1349843712430873
1,little,200000,hash,21158.04714912281,1.0
1,little,300000,hash,29594.891666666666,0.6648950305607227
1,little,400000,hash,38267.18764619882,0.4977411639649217
1,little,500000,hash,46263.287061403506,0.3982195057135264
1,little,600000,hash,59285.05153508771,0.3323589334750642
1,little,700000,hash,74392.91257309941,0.2851005403490123
1,little,800000,hash,90931.52185672514,0.2498449818407299
1,little,900000,hash,108255.14671052631,0.2226060767118433
1,little,1000000,hash,128426.65182748539,0.2007263708034369
1,little,1100000,hash,150614.38209064328,0.1828771370360528
1,little,1200000,hash,174862.67704678362,0.1680839755514217
1,little,1300000,hash,207667.93033625733,0.155549650101869
1,little,1400000,hash,244066.3255116959,0.1450527061741518
1,little,1500000,hash,279870.595248538,0.1357959075205952
1,little,200000,idle,9238.804824561405,0.0
1,little,300000,idle,11662.326754385966,0.0
1,little,400000,idle,14739.322368421052,0.0
1,little,500000,idle,17003.47587719298,0.0
1,little,600000,idle,21402.447368421053,0.0
1,little,700000,idle,27034.129385964912,0.0
1,little,800000,idle,33128.20175438596,0.0
1,little,900000,idle,39642.149122807015,0.0
1,little,1000000,idle,47670.88596491228,0.0
1,little,1100000,idle,56177.60745614035,0.0
