howmany,island,frequency,task,meas_power,meas_time,pred_power,pred_time,time_error,power_error
1,cpu,1199999,cacherate-40,1968036.0,0.5434780683471884,1872985.154740061,1.0142037990159505,86.61356512514317,-4.829731024226136
1,cpu,299999,cacherate-60,1809369.0,1.0,1752124.8586817386,1.5224203937988523,52.24203937988523,-3.163762688443396
1,cpu,399999,cacherate-60,1842462.0,0.7530274580109936,1782347.4582064298,1.4066947778610022,86.80524367286293,-3.2627289894483664
1,cpu,599999,cacherate-60,1880230.0,0.7526535497367002,1803964.4258408255,1.3780356451478697,83.09030039517467,-4.056183241368048
1,cpu,1199999,cacherate-60,1950861.0,0.700913457656353,1863040.6658851511,1.3493975020627236,92.51984497126207,-4.50161923965105
1,cpu,299999,cacherate-80,1804278.7212787208,0.9859541103560966,1749782.7460800216,1.9051797172384504,93.23208831193548,-3.020374543910655
1,cpu,399999,cacherate-80,1839538.0,1.0,1778319.4571912014,1.7276706729592537,72.76706729592537,-3.3279303177644937
1,cpu,599999,cacherate-80,1868133.0,0.9441827108790402,1800647.7105544424,1.4419633527625193,52.72079610735958,-3.6124456580745394
1,cpu,1199999,cacherate-80,1950701.0,0.511552774120441,1860080.5333333327,1.4739311320573254,188.12885133730117,-4.645533409100998
1,cpu,299999,decrypt,1645622.0,1.0,1645962.2,1.0,0.0,0.02067303426910636
1,cpu,399999,decrypt,1660141.0,0.7491042464181238,1663601.8666666667,0.7491042464181238,0.0,0.20846823653332447
1,cpu,599999,decrypt,1695606.0,0.4823358942261627,1690279.5333333332,0.4823358942261627,0.0,-0.31413351136212014
1,cpu,1199999,decrypt,1778573.0,0.2095869861726385,1778775.2666666666,0.2173102126751043,3.684974264625445,0.011372412977516502
1,cpu,299999,encrypt,1646125.0,1.0,1645631.433333333,1.0,0.0,-0.02998354721949329
1,cpu,399999,encrypt,1660118.0,0.7503677422930418,1663408.7666666666,0.7503677422930418,0.0,0.1982248651401048
1,cpu,599999,encrypt,1692255.0,0.4725628516230717,1689831.5333333332,0.4827539461326619,2.1565585349309035,-0.1432093075019303
1,cpu,1199999,encrypt,1778657.0,0.2103760713943283,1778650.933333333,0.2172759499111068,3.27978294824481,-0.00034108131398487594
1,cpu,299999,gzip-1,1655986.013986014,1.0,1650118.5252916089,1.0536752046271212,5.3675204627121165,-0.35431994261122657
1,cpu,399999,gzip-1,1664791.0,0.745538836499859,1669194.7924566767,0.7735253379817785,3.753862322358682,0.26452524411032485
1,cpu,599999,gzip-1,1703237.0,0.4893351414062079,1701046.5431254192,0.4982601788282427,1.823910989998969,-0.12860552433870454
1,cpu,1199999,gzip-1,1798080.0,0.223897124169797,1794327.5462128797,0.2407991684715767,7.549022509535082,-0.2086922599172613
1,cpu,299999,gzip-5,1656767.0,1.0,1649725.8333333333,1.0287554237076495,2.8755423707649497,-0.42499438162799863
1,cpu,399999,gzip-5,1664686.0,0.7474061563972041,1668532.21559633,0.7661315827558777,2.505388295025239,0.2310475126438191
1,cpu,599999,gzip-5,1703125.0,0.47786882197274,1700527.0507042254,0.5055210101170508,5.786564612053341,-0.15254014213722233
1,cpu,1199999,gzip-5,1797566.0,0.2053342251359834,1793730.908040201,0.2587141090047903,25.996583781128486,-0.2133491599083951
1,cpu,299999,gzip-9,1656400.0,1.0,1649772.2333333334,1.0318497201311527,3.1849720131152726,-0.4001308057634994
1,cpu,399999,gzip-9,1664638.0,0.7470827585100384,1668384.6388039414,0.7686758585135678,2.89032235820756,0.2250722862232768
1,cpu,599999,gzip-9,1703397.0,0.4824916710328048,1700416.2199798184,0.5120055803209966,6.1169779832707505,-0.17499032933494396
1,cpu,1199999,gzip-9,1796974.0,0.2053499599532903,1793911.973481034,0.2593664840186362,26.304618748225085,-0.1703990441133857
1,cpu,299999,hash,1649290.0,1.0,1647051.7331356038,1.0129588204675597,1.2958820467559695,-0.13571093406230356
1,cpu,399999,hash,1664595.0,0.7413145478829836,1665564.6995859214,0.7449220914483804,0.48664140960124286,0.058254385356279685
1,cpu,599999,hash,1697059.0,0.47188431058507,1692521.4522468145,0.4748316159886991,0.6245821989662769,-0.267377136162355
1,cpu,1199999,hash,1785235.0,0.1953354887678209,1775149.1239572908,0.1979025276204409,1.3141692115513237,-0.5649606938419435
1,cpu,299999,idle,1611400.0,0.0,1611400.0,0.0,0.0,0.0
1,cpu,399999,idle,1618454.0,0.0,1618454.0,0.0,0.0,0.0
1,cpu,599999,idle,1621317.0,0.0,1621317.0,0.0,0.0,0.0
1,cpu,1199999,idle,1636175.0,0.0,1636175.0,0.0,0.0,0.0
2,cpu,299999,cachekiller,1970800.1998002,1.3101197580391195,1885498.8220013524,1.8844268699348483,43.83623011344435,-4.32826106915838
2,cpu,399999,cachekiller,2020843.0,0.9670938792583872,1935041.27715736,1.826161618867279,88.82981870050351,-4.245838139956445
2,cpu,599999,cachekiller,2077299.0,0.9959750172575864,1976435.478470825,1.7829808943301586,79.0186363549148,-4.855512929490416
