howmany,island,frequency,task,power,time
2,cpu,700000,idle,2899018.796992481,0.0
2,cpu,800000,idle,2926002.506265664,0.0
2,cpu,900000,idle,2951370.481927711,0.0
2,cpu,1000000,idle,2978583.583583584,0.0
2,cpu,1100000,idle,3003434.2928660824,0.0
2,cpu,1200000,idle,3031055.165496489,0.0
2,cpu,1300000,idle,3057185.0,0.0
2,cpu,1400000,idle,3084576.0,0.0
2,cpu,1500000,idle,3110947.0,0.0
3,cpu,600000,decrypt,3427817.6240175236,1.0005828304991773
3,cpu,700000,decrypt,3611664.442108502,0.857835070396782
3,cpu,800000,decrypt,3750645.231401224,0.7514399341744378
3,cpu,900000,decrypt,3894021.557065016,0.6675809105869447
3,cpu,1000000,decrypt,4041976.791538394,0.6008639605046626
3,cpu,1100000,decrypt,4187809.124355137,0.5461464618760287
3,cpu,1200000,decrypt,4341168.346687903,0.501371365880417
3,cpu,1300000,decrypt,4495213.354015656,0.4630416895227647
3,cpu,1400000,decrypt,4657279.148320615,0.4295803620405924
3,cpu,1500000,decrypt,4814553.500665906,0.4008502468458585
3,cpu,600000,encrypt,3423872.1571962386,1.0004115226337449
3,cpu,700000,encrypt,3606344.5431237817,0.8574531321444903
3,cpu,800000,encrypt,3744732.571018357,0.7506172839506174
3,cpu,900000,encrypt,3886134.5456511956,0.6666666666666666
3,cpu,1000000,encrypt,4031837.3184616296,0.6002057613168724
3,cpu,1100000,encrypt,4179625.231321677,0.5462277091906722
3,cpu,1200000,encrypt,4330741.361947245,0.5006858710562415
3,cpu,1300000,encrypt,4483548.25006072,0.4628257887517147
3,cpu,1400000,encrypt,4643074.42066839,0.4296296296296297
3,cpu,1500000,encrypt,4798670.6133846305,0.4015089163237312
3,cpu,600000,gzip-1,3501842.492861406,1.054766006316394
3,cpu,700000,gzip-1,3698001.369161827,1.2096612115991965
3,cpu,800000,gzip-1,3847879.3579536127,0.8875968992248061
3,cpu,900000,gzip-1,4001910.330066977,1.063833859699493
3,cpu,1000000,gzip-1,4158535.7561381846,0.929730117714614
3,cpu,1100000,gzip-1,4304213.794211456,0.7376543209876543
3,cpu,1200000,gzip-1,4476631.110153177,0.7736146999712891
3,cpu,1300000,gzip-1,4641504.017686575,0.8407503110345488
3,cpu,1400000,gzip-1,4806578.84644354,0.6607330845056943
3,cpu,1500000,gzip-1,4980034.259848213,0.762465307684946
3,cpu,600000,gzip-5,3516159.6371909506,1.0538426138978372
3,cpu,700000,gzip-5,3716040.459251793,0.9023239760699492
3,cpu,800000,gzip-5,3871341.322809555,0.7968016566958125
3,cpu,900000,gzip-5,4028426.449283577,0.7067188219052001
3,cpu,1000000,gzip-5,4188882.9662384214,0.6375517717441326
3,cpu,1100000,gzip-5,4350930.011684574,0.5818453750575242
3,cpu,1200000,gzip-5,4519803.743171457,0.5358720662678325
