power,island,task,time,howmany,frequency,time_rel
1721114.0,cpu,cacherate-0,11.295602254066663,3,299999,1.0025585415287175
2055542.4575424576,cpu,cacherate-100,3.340493842286666,3,299999,1.4460298559280016
1951612.0,cpu,cacherate-20,9.130433663903334,3,299999,1.1269190127501731
2091706.2937062937,cpu,cacherate-40,4.308823483621667,3,299999,1.0168992268041157
2069398.6013986007,cpu,cacherate-60,3.194849488245333,3,299999,1.0490448006616129
2059483.5164835164,cpu,cacherate-80,3.317688691932,3,299999,1.4268771330961367
1720322.0,cpu,decrypt,15.51640596818,3,299999,0.9622272024396666
1719094.0,cpu,encrypt,15.501595381253331,3,299999,0.9655003834259385
1725187.0,cpu,gzip-1,19.18796490071333,3,299999,1.004180464117134
1725188.0,cpu,gzip-5,20.219025951826666,3,299999,1.0017064892790566
1725081.0,cpu,gzip-9,20.22720167577334,3,299999,1.0018785119287281
1721634.0,cpu,hash,11.252010035786666,3,299999,0.9983105215613035
1601582.0,cpu,idle,2.00443045188,3,299999,0.9999590089185667
2133124.0,cpu,cachekiller,3.2717950519137937,3,399999,1.40412045812158
1757727.0,cpu,cacherate-0,8.188455121736666,3,399999,0.7267789215281641
2131404.0,cpu,cacherate-100,3.039296352843333,3,399999,1.3156477678809604
2050062.937062937,cpu,cacherate-20,6.209710953449999,3,399999,0.7664303355919871
2182834.0,cpu,cacherate-40,3.243672220848,3,399999,0.7655193548596854
2157994.0,cpu,cacherate-60,3.289088220981608,3,399999,1.0799885596592314
2140582.0,cpu,cacherate-80,3.149797634844444,3,399999,1.3546702648652094
1754619.0,cpu,decrypt,11.98127721046,3,399999,0.7430013674247349
1753113.0,cpu,encrypt,11.432877432213331,3,399999,0.712084612775595
1771565.0,cpu,gzip-1,14.45050570206,3,399999,0.7562508894355151
1768473.0,cpu,gzip-5,15.20162254876,3,399999,0.7531304421362596
1765604.0,cpu,gzip-9,15.144367865186666,3,399999,0.7501194176081882
1756736.0,cpu,hash,8.337827304966664,3,399999,0.7397558924170838
1602942.0,cpu,idle,2.003377053,3,399999,0.9994334952001672
2194453.0,cpu,cachekiller,3.157096668858889,3,599999,1.3548966089484316
1839503.0,cpu,cacherate-0,5.197124262202221,3,599999,0.46127875285101383
2200044.0,cpu,cacherate-100,2.201900106729348,3,599999,0.9531564626151623
2240538.0,cpu,cacherate-20,4.283614147176667,3,599999,0.5287028418839966
2256925.0,cpu,cacherate-40,3.3258569393200004,3,599999,0.784915270470284
2215162.0,cpu,cacherate-60,3.2250364370022218,3,599999,1.0589568361918515
2204562.0,cpu,cacherate-80,2.461989258097778,3,599999,1.0588564812759242
1826286.0,cpu,decrypt,7.679055819946665,3,599999,0.4762054056949899
1824115.0,cpu,encrypt,7.58236457452,3,599999,0.47225951419346196
1859301.0,cpu,gzip-1,9.343551502733336,3,599999,0.4889842113567916
1856729.0,cpu,gzip-5,10.088003941866669,3,599999,0.4997876275799329
1856071.0,cpu,gzip-9,10.089753852133333,3,599999,0.49975808503506275
1828934.0,cpu,hash,5.320565050242222,3,599999,0.472055753009005
1611707.0,cpu,idle,2.003670881905333,3,599999,0.9995800789146048
2406845.0560652395,cpu,cachekiller,3.735291352797,4,1199999,1.6030340905488636
2216719.71971972,cpu,cacherate-0,2.3404791667669067,4,1199999,0.20773282620387937
