howmany,island,frequency,task,power,time
3,cpu,299999,cacherate-80,3637947.6999999997,1.9051797172384504
3,cpu,399999,cacherate-80,3716504.0,1.7276706729592537
3,cpu,599999,cacherate-80,3780625.9,1.4419633527625193
3,cpu,1199999,cacherate-80,3944066.6000000006,1.4739311320573254
3,cpu,299999,decrypt,3326486.5999999996,1.0
3,cpu,399999,decrypt,3372351.5999999996,0.7491042464181238
3,cpu,599999,decrypt,3449521.5999999996,0.4823358942261627
3,cpu,1199999,decrypt,3700150.8000000007,0.2173102126751043
3,cpu,299999,encrypt,3325494.3,1.0
3,cpu,399999,encrypt,3371772.3000000007,0.7503677422930418
3,cpu,599999,encrypt,3448177.5999999996,0.4827539461326619
3,cpu,1199999,encrypt,3699777.8000000003,0.2172759499111068
3,cpu,299999,gzip-1,3338955.3,1.0536752046271212
3,cpu,399999,gzip-1,3389130.1999999997,0.7735253379817785
3,cpu,599999,gzip-1,3481822.4000000004,0.4982601788282427
3,cpu,1199999,gzip-1,3746807.4,0.2407991684715767
3,cpu,299999,gzip-5,3337777.4999999995,1.0287554237076495
3,cpu,399999,gzip-5,3387142.5000000005,0.7661315827558777
3,cpu,599999,gzip-5,3480264.0,0.5055210101170508
3,cpu,1199999,gzip-5,3745017.6999999993,0.2587141090047903
3,cpu,299999,gzip-9,3337916.6999999993,1.0318497201311527
3,cpu,399999,gzip-9,3386699.6000000006,0.7686758585135678
3,cpu,599999,gzip-9,3479931.4,0.5120055803209966
3,cpu,1199999,gzip-9,3745560.8000000003,0.2593664840186362
3,cpu,299999,hash,3329754.8000000007,1.0129588204675597
3,cpu,399999,hash,3378239.8999999994,0.7449220914483804
3,cpu,599999,hash,3456247.1,0.4748316159886991
3,cpu,1199999,hash,3689272.1000000006,0.1979025276204409
3,cpu,299999,idle,1611400.0,0.0
3,cpu,399999,idle,1618454.0,0.0
3,cpu,599999,idle,1621317.0,0.0
3,cpu,1199999,idle,1636175.0,0.0
4,cpu,299999,cachekiller,4308130.666666666,1.8844268699348483
4,cpu,399999,cachekiller,4409567.066666666,1.826161618867279
4,cpu,599999,cachekiller,4493309.933333334,1.7829808943301586
4,cpu,1199999,cachekiller,4704236.199999999,1.6030340905488636
4,cpu,299999,cacherate-0,3897940.0,1.026254779740994
4,cpu,399999,cacherate-0,3957613.866666667,0.7553576979213613
4,cpu,599999,cacherate-0,4064291.8000000007,0.4794693205063919
4,cpu,1199999,cacherate-0,4399688.199999999,0.2077328262038793
4,cpu,299999,cacherate-100,4308054.533333333,1.856557734164329
4,cpu,399999,cacherate-100,4407561.466666667,1.4492954589625775
4,cpu,599999,cacherate-100,4493534.466666667,1.4697628323709282
4,cpu,1199999,cacherate-100,4705064.6,1.4271382454376869
4,cpu,299999,cacherate-20,4184260.133333333,1.1494670558997055
4,cpu,399999,cacherate-20,4328884.0,0.8208500848900847
4,cpu,599999,cacherate-20,4556726.199999999,0.6528525238895048
4,cpu,1199999,cacherate-20,4880599.266666666,0.6187230611781821
4,cpu,299999,cacherate-40,4336048.933333334,1.2811295967217875
4,cpu,399999,cacherate-40,4459517.199999999,1.0480325148469174
4,cpu,599999,cacherate-40,4559394.333333334,1.0455931595350727
4,cpu,1199999,cacherate-40,4764981.933333334,1.0142037990159505
4,cpu,299999,cacherate-60,4322832.4,1.5224203937988523
4,cpu,399999,cacherate-60,4431966.266666666,1.4066947778610022
4,cpu,599999,cacherate-60,4513662.6,1.3780356451478697
4,cpu,1199999,cacherate-60,4725203.933333334,1.3493975020627236
4,cpu,299999,cacherate-80,4313463.6,1.9051797172384504
4,cpu,399999,cacherate-80,4415854.0,1.7276706729592537
4,cpu,599999,cacherate-80,4500395.533333333,1.4419633527625193
4,cpu,1199999,cacherate-80,4713363.800000001,1.4739311320573254
4,cpu,299999,decrypt,3898182.133333333,1.0
4,cpu,399999,decrypt,3956984.133333333,0.7491042464181238
4,cpu,599999,decrypt,4058923.133333333,0.4823358942261627
4,cpu,1199999,decrypt,4388142.733333334,0.2173102126751043
4,cpu,299999,encrypt,3896859.0666666664,1.0
4,cpu,399999,encrypt,3956211.7333333343,0.7503677422930418
4,cpu,599999,encrypt,4057131.133333333,0.4827539461326619
4,cpu,1199999,encrypt,4387645.4,0.2172759499111068
4,cpu,299999,gzip-1,3914807.0666666664,1.0536752046271212
4,cpu,399999,gzip-1,3979355.5999999996,0.7735253379817785
4,cpu,599999,gzip-1,4101990.866666667,0.4982601788282427
4,cpu,1199999,gzip-1,4450351.533333333,0.2407991684715767
4,cpu,299999,gzip-5,3913236.666666666,1.0287554237076495
4,cpu,399999,gzip-5,3976705.333333334,0.7661315827558777
4,cpu,599999,gzip-5,4099913.0,0.5055210101170508
4,cpu,1199999,gzip-5,4447965.266666666,0.2587141090047903
4,cpu,299999,gzip-9,3913422.2666666657,1.0318497201311527
4,cpu,399999,gzip-9,3976114.8000000007,0.7686758585135678
4,cpu,599999,gzip-9,4099469.533333333,0.5120055803209966
4,cpu,1199999,gzip-9,4448689.4,0.2593664840186362
4,cpu,299999,hash,3902539.7333333343,1.0129588204675597
4,cpu,399999,hash,3964835.1999999993,0.7449220914483804
4,cpu,599999,hash,4067890.466666667,0.4748316159886991
4,cpu,1199999,hash,4373637.800000001,0.1979025276204409
4,cpu,299999,idle,1611400.0,0.0
4,cpu,399999,idle,1618454.0,0.0
4,cpu,599999,idle,1621317.0,0.0
4,cpu,1199999,idle,1636175.0,0.0
