howmany,island,frequency,task,meas_power,meas_time,pred_power,pred_time,time_error,power_error
1,cpu,1199999,encrypt,1778657.0,3.377693880432,2206103.0,3.377693880432,0.0,24.031952197641253
1,cpu,299999,gzip-1,1655986.013986014,19.1080842402,1789744.0559440565,19.1080842402,0.0,8.077244664408868
1,cpu,399999,gzip-1,1664791.0,14.24581889218,1803802.0,14.24581889218,0.0,8.350057154321473
1,cpu,599999,gzip-1,1703237.0,9.35025710368,1948997.0,9.35025710368,0.0,14.428996082165899
1,cpu,1199999,gzip-1,1798080.0,4.278245109775001,2283795.0,4.278245109775001,0.0,27.012980512546715
1,cpu,299999,gzip-5,1656767.0,20.18458118044,1792868.0,20.18458118044,0.0,8.214854593313364
1,cpu,399999,gzip-5,1664686.0,15.08608023856,1803382.0,15.08608023856,0.0,8.331661346343996
1,cpu,599999,gzip-5,1703125.0,9.64558203071,1948549.0,9.64558203071,0.0,14.410216513761467
1,cpu,1199999,gzip-5,1797566.0,4.1445853363800005,2281739.0,4.1445853363800005,0.0,26.934922000082334
1,cpu,299999,gzip-9,1656400.0,20.1892758802,1791400.0,20.1892758802,0.0,8.150205264428882
1,cpu,399999,gzip-9,1664638.0,15.083059916899998,1803190.0,15.083059916899998,0.0,8.323251061191682
1,cpu,599999,gzip-9,1703397.0,9.74115745638,1949637.0,9.74115745638,0.0,14.455819753116861
1,cpu,1199999,gzip-9,1796974.0,4.145866993485,2279371.0,4.145866993485,0.0,26.84496269840298
1,cpu,299999,hash,1649290.0,11.27105223552,1762960.0,11.27105223552,0.0,6.892056581923131
1,cpu,399999,hash,1664595.0,8.355394992139999,1803018.0,8.355394992139999,0.0,8.315716435529364
1,cpu,599999,hash,1697059.0,5.318632713726667,1924285.0,5.318632713726667,0.0,13.389398954308602
1,cpu,1199999,hash,1785235.0,2.2016364973529403,2232415.0,2.2016364973529403,0.0,25.048803098751705
1,cpu,299999,idle,1611400.0,0.0,1611400.0,0.0,0.0,0.0
1,cpu,399999,idle,1618454.0,0.0,1618454.0,0.0,0.0,0.0
1,cpu,599999,idle,1621317.0,0.0,1621317.0,0.0,0.0,0.0
1,cpu,1199999,idle,1636175.0,0.0,1636175.0,0.0,0.0,0.0
2,cpu,299999,cachekiller,1970800.1998002,3.052760407395,2405416.0,2.199189522668571,-27.96062483838367,22.05275807480948
2,cpu,399999,cachekiller,2020843.0,2.2534626218085707,2502294.0,2.3301384386142856,3.4025777070212446,23.824265417946865
2,cpu,599999,cachekiller,2077299.0,2.320759671611429,2629225.0,2.2419752266575004,-3.394769648820391,26.569405752373637
2,cpu,1199999,cachekiller,2192740.0,2.30196374309375,2894435.0,2.0145358382888885,-12.486204687940454,32.0008300117661
2,cpu,299999,cacherate-0,1686220.0,11.11587014017,1737240.0,11.26677574044,1.3575689385274954,3.025702458753899
2,cpu,399999,cacherate-0,1706176.0,8.188555590890001,1782358.0,8.18918297086,0.007661668325196025,4.4650727709216405
2,cpu,599999,cacherate-0,1759104.0,5.110288539523333,1875017.0,5.162291751919999,1.017617928899104,6.589320472240414
2,cpu,1199999,cacherate-0,1929313.0,2.175377953815,2202471.0,2.1051785358066666,-3.2269986870660063,14.158304018062386
2,cpu,299999,cacherate-100,1963790.2097902093,2.2484700884814286,2394836.0,2.310114019148572,2.7415944282708486,21.949686278140632
2,cpu,399999,cacherate-100,2019524.0,2.3280546207257142,2496582.0,2.28563462243,-1.8221221236850063,23.62229911602932
2,cpu,599999,cacherate-100,2073083.0,2.29412975738625,2620501.0,2.0915212908422216,-8.831604484955745,26.405985674476128
2,cpu,1199999,cacherate-100,2191643.0,2.191194754457777,2891051.0,1.18831139639,-45.76879147905527,31.912496697682975
2,cpu,299999,cacherate-20,1842708.291708292,8.838249702964998,2070548.0,8.10212052561,-8.328902238505963,12.36439371966401
2,cpu,399999,cacherate-20,1919892.0,6.292112828855,2205370.0,6.25088966499,-0.6551561452610153,14.86948224170943
2,cpu,599999,cacherate-20,2037692.0,4.314325598355,2454893.0,4.271259480754999,-0.9982120407514428,20.474193352086576
2,cpu,1199999,cacherate-20,2291674.0,3.2684590600466668,3115467.0,2.301392547088571,-29.587842319318753,35.9472158780001
2,cpu,299999,cacherate-40,1943676.0,4.30975047863,2299660.0,4.237217779349999,-1.6829906891281978,18.314986654154293
2,cpu,399999,cacherate-40,2036502.0,3.32908795024,2486238.0,3.26140998618,-2.0329280893621635,22.08374948809282
