island,frequency,task,power,time
big,300000,cacherate-100,78748.9168128655,1.3679382644146767
big,400000,cacherate-100,99525.63077485378,1.1225247524752475
big,500000,cacherate-100,119907.76739766082,0.9957775189283636
big,600000,cacherate-100,138900.66469298245,0.9170064065230056
big,700000,cacherate-100,154723.82127192983,0.8688118811881189
big,800000,cacherate-100,175317.48040935674,0.8367064647641236
big,900000,cacherate-100,204711.0951023392,0.816322073383809
big,1000000,cacherate-100,235725.16571637426,0.7955008736167737
big,1100000,cacherate-100,270265.1259502924,0.7832702387885849
big,1200000,cacherate-100,308063.6164473684,0.7775917297612115
big,1300000,cacherate-100,346662.70445906435,0.7687827606290042
big,1400000,cacherate-100,389248.74568713445,0.7714764123471171
big,1500000,cacherate-100,436392.260380117,0.7649242865463017
big,1600000,cacherate-100,500643.7038011696,0.7592457775189285
big,1700000,cacherate-100,571409.6412280701,0.7365463016889926
big,1800000,cacherate-100,647415.2132309941,0.7451951077460688
big,1900000,cacherate-100,761561.4573099415,0.7368083867210252
big,2000000,cacherate-100,915379.5680555556,0.7328771112405359
big,200000,cacherate-20,65161.98230994153,0.8813673545268637
big,300000,cacherate-20,95771.44247076023,0.6287878787878787
big,400000,cacherate-20,123632.77302631577,0.5154303773935676
big,500000,cacherate-20,148633.800877193,0.4537785833798103
big,600000,cacherate-20,172708.37302631576,0.4163878044246141
big,700000,cacherate-20,190045.5652777778,0.3931725227737497
big,800000,cacherate-20,214362.02478070176,0.3780442461424055
big,900000,cacherate-20,247551.32346491228,0.3667735638594534
big,1000000,cacherate-20,282533.47368421045,0.3581055958356571
big,1100000,cacherate-20,319921.60562865494,0.3523424428332403
big,1200000,cacherate-20,360386.71315789473,0.3471137757947573
big,1300000,cacherate-20,402227.46747076017,0.3435582822085889
big,1400000,cacherate-20,447678.22141812864,0.3437906674102992
big,1500000,cacherate-20,495794.59334795317,0.3415365309537088
big,1600000,cacherate-20,563326.6964912281,0.3382831381297638
big,1700000,cacherate-20,637408.109284429,0.3317066369213608
big,1800000,cacherate-20,719415.5446637427,0.3330172894590072
big,1900000,cacherate-20,838344.8078216373,0.329085331846068
big,2000000,cacherate-20,1002437.1863304093,0.3273563859453429
big,200000,cacherate-40,62061.87317251462,1.7273149102907814
big,300000,cacherate-40,88500.92251461987,1.2298927613941015
big,400000,cacherate-40,112320.5884502924,1.0104145184574136
big,500000,cacherate-40,132926.09166666667,0.8940503196535368
big,600000,cacherate-40,153240.51118421054,0.8279026603423385
big,700000,cacherate-40,168479.0351608187,0.7848525469168901
big,800000,cacherate-40,189277.08048245613,0.7525262940812538
big,900000,cacherate-40,218615.83823099412,0.7343266652918127
big,1000000,cacherate-40,250631.35913742683,0.7166941637451021
